id,scientificName,names_wo_author
461,Conchocarpus heterophyllus (A. St.-Hil.) Kallunki & Pirani,Conchocarpus heterophyllus
598,Esenbeckia irwiniana Kaastra,Esenbeckia irwiniana
601,Esenbeckia leiocarpa Engl.,Esenbeckia leiocarpa
606,Esenbeckia oligantha Kaastra,Esenbeckia oligantha
746,Galipea jasminiflora (A.St.-Hil.) Engl.,Galipea jasminiflora
777,Helietta glaziovii (Engl.) Pirani,Helietta glaziovii
817,Metrodorea mollis Taub.,Metrodorea mollis
819,Metrodorea nigra A.St.-Hil.,Metrodorea nigra
823,Metrodorea stipularis Mart.,Metrodorea stipularis
891,Pilocarpus pennatifolius var. pilosus Kaastra,Pilocarpus pennatifolius
903,Pilocarpus spicatus A.St.-Hil. subsp. spicatus,Pilocarpus spicatus
904,Pilocarpus spicatus A.St.-Hil. var. spicatus,Pilocarpus spicatus
908,Pilocarpus trachylophus Holmes,Pilocarpus trachylophus
1114,Zanthoxylum gardneri Engl.,Zanthoxylum gardneri
1135,Zanthoxylum monogynum A.St.-Hil. subsp. monogynum,Zanthoxylum monogynum
1182,Zanthoxylum stelligerum Turcz.,Zanthoxylum stelligerum
1416,Arrojadoa rhodantha (Gürke) Britton & Rose,Arrojadoa rhodantha
1423,Arthrocereus rondonianus Backeb. & Voll,Arthrocereus rondonianus
1427,Brasilicereus markgrafii Backeb. & Voll,Brasilicereus markgrafii
1435,Cereus adelmarii (Rizzini & Mattos) P.J.Braun,Cereus adelmarii
1447,Cereus jamacaru DC.,Cereus jamacaru
1455,Cereus mirabella N.P.Taylor,Cereus mirabella
1458,Cereus saddianus (Rizzini & Mattos) P.J.Braun,Cereus saddianus
1461,Cereus triangularis K.Schum.,Cereus triangularis
1463,Cipocereus bradei (Backeb. & Voll) Zappi & N.P.Taylor,Cipocereus bradei
1464,Cipocereus crassisepalus (Buining & Brederoo) Zappi & N.P.Taylor,Cipocereus crassisepalus
1466,Cipocereus minensis (Werderm.) Ritter,Cipocereus minensis
1467,Cipocereus minensis subsp. leiocarpus N.P.Taylor & Zappi,Cipocereus minensis
1468,Cipocereus minensis (Werderm.) Ritter subsp. minensis,Cipocereus minensis
1469,Cipocereus pusilliflorus (Ritter) Zappi & N.P.Taylor,Cipocereus pusilliflorus
1517,Facheiroa cephaliomelana Buining & Brederoo,Facheiroa cephaliomelana
1520,Facheiroa squamosa (Gürke) P.J.Braun & Esteves,Facheiroa squamosa
1552,Leocereus bahiensis Britton & Rose,Leocereus bahiensis
1597,Micranthocereus albicephalus (Buining & Brederoo) F.Ritter,Micranthocereus albicephalus
1598,Micranthocereus auriazureus Buining & Brederoo,Micranthocereus auriazureus
1599,Micranthocereus dolichospermaticus (Buining & Brederoo) F.Ritter,Micranthocereus dolichospermaticus
1600,Micranthocereus estevesii (Buining & Brederoo) F.Ritter,Micranthocereus estevesii
1601,Micranthocereus flaviflorus Buining & Brederoo,Micranthocereus flaviflorus
1605,Micranthocereus purpureus (Gürke) F.Ritter,Micranthocereus purpureus
1606,Micranthocereus streckeri Van Heek & Van Criek.,Micranthocereus streckeri
1607,Micranthocereus violaciflorus Buining,Micranthocereus violaciflorus
1641,Pereskia stenantha Ritter,Pereskia stenantha
1644,Pilosocereus aureispinus (Buining & Brederoo) Ritter,Pilosocereus aureispinus
1645,Pilosocereus aurisetus (Werderm.) Byles & G.D.Rowley,Pilosocereus aurisetus
1646,Pilosocereus aurisetus subsp. aurilanatus (Ritter) Zappi,Pilosocereus aurisetus
1647,Pilosocereus aurisetus (Werderm.) Byles & G.D.Rowley subsp. aurisetus,Pilosocereus aurisetus
1655,Pilosocereus flavipulvinatus (Buining & Brederoo) Ritter,Pilosocereus flavipulvinatus
1656,Pilosocereus floccosus Byles & Rowley,Pilosocereus floccosus
1657,Pilosocereus floccosus Byles & Rowley subsp. floccosus,Pilosocereus floccosus
1658,Pilosocereus floccosus subsp. quadricostatus (Ritter) Zappi,Pilosocereus floccosus
1659,Pilosocereus fulvilanatus (Buining & Brederoo) Ritter,Pilosocereus fulvilanatus
1660,Pilosocereus fulvilanatus (Buining & Brederoo) Ritter subsp. fulvilanatus,Pilosocereus fulvilanatus
1661,Pilosocereus fulvilanatus subsp. rosae (P.J.Braun) Zappi,Pilosocereus fulvilanatus
1662,Pilosocereus glaucochrous (Werderm.) Byles & G.D.Rowley,Pilosocereus glaucochrous
1665,Pilosocereus gounellei subsp. zehntneri (Britton & Rose) Zappi,Pilosocereus gounellei
1666,Pilosocereus machrisii (E.Y.Dawson) Backeb.,Pilosocereus machrisii
1668,Pilosocereus pachycladus F.Ritter,Pilosocereus pachycladus
1669,Pilosocereus pachycladus F.Ritter subsp. pachycladus,Pilosocereus pachycladus
1746,Selenicereus wittii (K.Schum.) G.D.Rowley,Selenicereus wittii
1755,Tacinga saxatilis (Ritter) N.P.Taylor & Stuppy,Tacinga saxatilis
1757,Tacinga saxatilis (Ritter) N.P.Taylor & Stuppy subsp. saxatilis,Tacinga saxatilis
3944,Fuchsia coccinea Dryand.,Fuchsia coccinea
3956,Fuchsia regia (Vell.) Munz subsp. regia,Fuchsia regia
4037,Ludwigia albiflora Ramamoorthy,Ludwigia albiflora
4038,Ludwigia anastomosans (DC.) H.Hara,Ludwigia anastomosans
4048,Ludwigia filiformis (Micheli) Ramamoorthy,Ludwigia filiformis
4055,Ludwigia laruotteana (Cambess.) H.Hara,Ludwigia laruotteana
4207,Ruellia macrantha (Mart. ex Nees) Hiern,Ruellia macrantha
4234,Staurogyne minarum (Nees) Kuntze,Staurogyne minarum
4248,Carpotroche brasiliensis (Raddi) A Gray,Carpotroche brasiliensis
4383,Astronium concinnum Schott,Astronium concinnum
4388,Cyrtocarpa caatingae J.D.Mitch. & Daly,Cyrtocarpa caatingae
4405,Spondias tuberosa Arruda,Spondias tuberosa
4509,Allamanda doniana Müll.Arg.,Allamanda doniana
4598,Forsteronia pubescens A.DC.,Forsteronia pubescens
4601,Forsteronia thyrsoidea (Vell.) Müll.Arg.,Forsteronia thyrsoidea
4606,Geissospermum laeve (Vell.) Miers,Geissospermum laeve
4610,Gonolobus rostratus (Vahl) R.Br. ex Shult.,Gonolobus rostratus
4612,Gyrostelma bornmuelleri Schltr. ex Malme,Gyrostelma bornmuelleri
4613,Gyrostelma oxypetaloides E.Fourn.,Gyrostelma oxypetaloides
4615,Hemipogon acerosus Decne.,Hemipogon acerosus
4617,Hemipogon hemipogonoides (Malme) Rapini,Hemipogon hemipogonoides
4618,Hemipogon setaceus Decne.,Hemipogon setaceus
4621,Himatanthus drasticus (Mart.) Plumel,Himatanthus drasticus
4666,Mandevilla martiana (Stadelm.) Woodson,Mandevilla martiana
4692,Marsdenia sessilifolia (E.Fourn.) Fontella,Marsdenia sessilifolia
4706,Matelea pedalis (E.Fourn.) Fontella & E.A.Schwarz,Matelea pedalis
4746,Oxypetalum balansae Malme,Oxypetalum balansae
4777,Oxypetalum malmei Hoehne,Oxypetalum malmei
4817,Peplonia hatschbachii (Fontella & de Lamare) Fontella & Rapini,Peplonia hatschbachii
4819,Peplonia riedelii (E.Fourn.) Fontella & Rapini,Peplonia riedelii
4823,Prestonia acutifolia (Benth. ex Müll.Arg.) K.Schum.,Prestonia acutifolia
4844,Rauvolfia mattfeldiana Markgr.,Rauvolfia mattfeldiana
4863,Tabernaemontana hystrix Steud.,Tabernaemontana hystrix
4864,Tabernaemontana laeta Mart.,Tabernaemontana laeta
4866,Tabernaemontana solanifolia A.DC.,Tabernaemontana solanifolia
4885,Ilex cerasifolia Reissek,Ilex cerasifolia
4888,Ilex conocarpa Reissek,Ilex conocarpa
4890,Ilex euryaeformis Reissek,Ilex euryaeformis
4891,Ilex floribunda Reissek ex Maxim.,Ilex floribunda
4894,Ilex grandis Reissek,Ilex grandis
4898,Ilex loranthoides Mart. ex Reissek,Ilex loranthoides
4899,Ilex lundii Warm.,Ilex lundii
4901,Ilex nummularia Reissek,Ilex nummularia
4902,Ilex oligoneura Loes.,Ilex oligoneura
4903,Ilex organensis Loes.,Ilex organensis
4904,Ilex paraguariensis A.St.-Hil.,Ilex paraguariensis
4906,Ilex pseudobuxus Reissek,Ilex pseudobuxus
4908,Ilex schwackeana Loes.,Ilex schwackeana
5136,Schefflera calva (Cham.) Frodin & Fiaschi,Schefflera calva
5159,Baccharis axillaris DC.,Baccharis axillaris
